index,sentence1,sentence2,label
0,I stuck a pin through a carrot. When I pulled the pin out it had a hole.,The carrot had a hole.,1
1, couldn't see the stage with Billy in front of him because he is so short., is so short.,1
2,The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.,The police were trying to stop the drug trade in the neighborhood.,1
3, follows Fred's example in everything. He influences him hugely., influences him hugely.,0
4,When Tatyana reached the cabin her mother was sleeping. She was careful not to disturb her undressing and climbing back into her berth.,mother was careful not to disturb her undressing and climbing back into her berth.,0
5, got free tickets to the play but he gave them to Eric because he was particularly eager to see it., was particularly eager to see it.,0
6, was jogging through the park when he saw a man juggling watermelons. He was very impressive., was very impressive.,0
7,I couldn't put the pot on the shelf because it was too tall.,The pot was too tall.,1
8,We had hoped to place copies of our newsletter on all the chairs in the auditorium but there were simply not enough of them.,There were simply not enough copies of the newsletter.,1
9,At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so advanced.,The judges were so advanced.,0
10,I took the water bottle out of the backpack so that it would be lighter.,I took the water bottle out of the backpack so that the backpack would be lighter.,1
11,The table won't fit through the doorway because it is too narrow.,The table is too narrow.,0
12,I took the water bottle out of the backpack so that it would be handy.,I took the water bottle out of the backpack so that the backpack would be handy.,0
13,The firemen arrived after the police because they were coming from so far away.,The police were coming from so far away.,0
14,Always before  had helped Dad with his work. But he could not help him now for Dad said that his boss at the railroad company would not want anyone but him to work in the office.,Dad could not help him now.,0
15,I poured water from the bottle into the cup until it was empty.,The cup was empty.,0
16,I put the cake away in the refrigerator. It has a lot of butter in it.,The cake has a lot of butter in it.,1
17, is holding captive a scientist Dr.  who has invented a device that turns animals invisible;  plans to use it on Geoffrey and send him to steal nuclear material from an army vault., plans to use it on  and send  to steal nuclear material from an army vault.,0
18,The foxes are getting in at night and attacking the chickens. They have gotten very bold.,The foxes have gotten very bold.,1
19, pulled up a chair to the piano but it was broken so he had to stand instead.,The piano was broken so he had to stand instead.,0
20, knocked on Susan's door but she did not get an answer., did not get an answer.,0
21, was playing cards with  and was way ahead. If  hadn't had a sudden run of good luck he would have won., would have won.,0
22,I put the butterfly wing on the table and it broke.,The table broke.,0
23, tried to call George on the phone but he wasn't successful., wasn't successful.,1
24,Look! There is a shark swimming right below that duck! It had better get away to safety fast!,The shark had better get away to safety fast!,0
25,The trophy doesn't fit into the brown suitcase because it is too large.,The suitcase is too large.,0
26,'s uncle can still beat him at tennis even though he is 30 years older., is 30 years older.,0
27,The large ball crashed right through the table because it was made of steel.,The large ball was made of steel.,1
28, broke both his ankles and he's walking with crutches. But a month or so from now they should be better.,The crutches should be better.,0
29, worked hard to harvest his beans so he and his family would have enough to eat that winter His friend  let him stack them in his barn where they would dry. Later he and  would shell them and cook them for their Sunday dinners.,His friend  let him stack Grant and his family in his barn where they would dry.,0
30, knocked on the door and Susan answered it. She invited her to come out., invited her to come out.,1
31, had to stop Bill from toying with the injured bird. He is very cruel., is very cruel.,1
32, said "Check" to Ralph as he took his bishop., said "Check" to  as he took 's bishop.,1
33,I sallied out for a bit of food more to pass the time than because I wanted it.,I sallied out for a bit of food more to pass the time than because I wanted food.,1
34, paid the detective after he received the final report on the case., received the final report on the case.,1
35,We had hoped to place copies of our newsletter on all the chairs in the auditorium but there were simply too many of them.,There were simply too many copies of the newsletter.,0
36, has sold his house and bought a new one a few miles away. He will be moving into it on Thursday.,He will be moving into The new house on Thursday.,1
37,Always before  had helped Dad with his work. But he could not help him now for Dad said that his boss at the railroad company would not want anyone but him to work in the office.,He could not help Dad now.,1
38,The table was piled high with food and on the floor beside it there were crocks baskets and a five-quart pail of milk.,Beside the table there were crocks baskets and a five-quart pail of milk.,1
39, comforted Kevin because he was so upset., was so upset.,1
40, was greatly influenced by Arnold though he lived two centuries earlier., lived two centuries earlier.,1
41,There is a pillar between me and the stage and I can't see around it.,I can't see around the stage.,0
42,Archaeologists have concluded that humans lived in Laputa 20000 years ago. They hunted for deer on the river banks.,Prehistoric humans hunted for deer on the river banks.,1
43, and  are passionately in love but 's parents are unhappy about it because they are snobs.,'s parents are snobs.,1
44, passed the half-empty plate to John because he was hungry., was hungry.,1
45, borrowed the book from the library because she needs it for an article she is working on. She writes it when she gets home from work.,She writes the book when she gets home from work.,0
46, promised Bill to leave so an hour later he left., left.,0
47, borrowed the book from the library because she needs it for an article she is working on. She reads it when she gets home from work.,She reads the article when she gets home from work.,0
48, heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.,The door of the shop closed after .,1
49, is the only man alive who still remembers my father as an infant. When  first saw my father he was twelve years old.,When  first saw my father My father was twelve years old.,0
50,Tatyana knew that Grandma always enjoyed serving an abundance of food to her guests. Now Tatyana watched as Grandma gathered Tatyana's small mother into a wide scrawny embrace and then propelled her to the table lifting her shawl from her shoulders seating her in the place of honor and saying simply: "There's plenty.",Grandma gathered Tatyana's small mother into a wide scrawny embrace and then propelled Grandma to the table.,0
51, watched TV while George went out to buy groceries. After an hour he got back., got back.,1
52, spoke to Donna breaking her concentration., spoke to  breaking 's concentration.,1
53,Although they ran at about the same speed  beat Sally because she had such a bad start., had such a bad start.,0
54, fired her trainer because she couldn't stand her boyfriend.,She couldn't stand 's boyfriend.,0
55,I can't cut that tree down with that axe; it is too small.,The axe is too small.,1
56, fired her trainer because she slept with her boyfriend.,She slept with 's boyfriend.,1
57,I saw  yelling at some guy in a military uniform with a huge red beard. I don't know why he was but he looked very unhappy.,I don't know why the guy in uniform was but he looked very unhappy.,0
58, tried frantically to stop her daughter from chatting at the party leaving us to wonder why she was behaving so strangely.,'s daughter was behaving so strangely.,0
59, knocked on Susan's door but she did not answer., did not answer.,0
60,The politicians far away in Washington could not know the settlers so they must make rules to regulate them.,The politicians must make rules to regulate them.,1
61,A number of times  had been present at interviews which his father had had with noted detectives who desired his aid in solving perplexing mysteries and those occasions stood out as red-letter days for him.,Those occasions stood out as red-letter days for .,1
62, pulled up a chair to the piano but it was broken so he had to stand instead.,The chair was broken so he had to stand instead.,1
63,Since it was raining I carried the newspaper over my backpack to keep it dry.,I carried the newspaper over my backpack to keep the backpack dry.,1
64,The politicians far away in Washington could not know the settlers so they must make rules to regulate them.,They must make rules to regular the politicians.,0
65, did a lot better than her good friend Lucy on the test because she had studied so hard., had studied so hard.,1
66, was close to Mr. Singer's heels. He heard him calling for the captain promising him in the jargon everyone talked that night that not one thing should be damaged on the ship except only the ammunition but the captain and all his crew had best stay in the cabin until the work was over.,Mr.  heard him calling for the captain,0
67, is the only man still alive who remembers my great-grandfather. He was a remarkable man.,My great-grandfather was a remarkable man.,1
68,I couldn't put the pot on the shelf because it was too high.,The shelf was too high.,1
69,No one joins Facebook to be sad and lonely. But a new study from the University of Wisconsin psychologist  argues that that's exactly how it makes us feel.,That's exactly how the study makes us feel.,0
70, paid for Charlie's college education. He is very generous., is very generous.,1
71, promised Bill to leave so an hour later he left., left.,1
72, was upset with Tom because the toaster he had sold him didn't work.,The toaster  had sold him didn't work.,0
73,Equally swoon-worthy is C.K. Dexter Haven a pallid young dandy holding a jade-handled walking stick with a poodle asleep at his feet.,Equally swoon-worthy is C.K. Dexter Haven a pallid young dandy holding a jade-handled walking stick with a poodle asleep at Haven's feet.,1
74, has sold his house and bought a new one a few miles away. He will be moving out of it on Thursday.,He will be moving out of The old house on Thursday.,1
75, heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.,The door of the shop closed after .,0
76,It is not easy to space buttonholes exactly the same distance apart and it is very difficult to cut them precisely the right size. The tiniest slip of the scissors will make the hole too large and even one thread uncut will leave it too small.,Even one thread uncut will leave the right size too small.,0
77, cried because Toby wouldn't accept his toy., cried because  wouldn't accept 's toy.,0
78,As  carried Tommy up the long winding steps his legs dangled.,'s legs dangled.,0
79, pulled up a chair to the piano but it was broken so he had to sing instead.,The chair was broken so he had to sing instead.,0
80,The fish ate the worm. It was hungry.,The worm was hungry.,0
81,The journalists interviewed the stars of the new movie. They were very cooperative so the interview lasted for a long time.,The journalists were very cooperative so the interview lasted for a long time.,0
82,The trophy doesn't fit into the brown suitcase because it is too small.,The trophy is too small.,0
83, visited Cooper's grave in 1765. At that date he had been travelling for five years., had been travelling for five years.,0
84, was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button so she put the album on a chair without even opening it.,She put the album on a chair without even opening the living room.,0
85, passed the half-empty plate to John because he was full.,Bill was full.,1
86, passed the half-empty plate to John because he was full., was full.,0
87,The foxes are getting in at night and attacking the chickens. I shall have to kill them.,I shall have to kill The foxes.,1
88,'s uncle can still beat him at tennis even though he is 30 years younger., is 30 years younger.,1
89, did not pass the ball to  although she was open.,She saw that  was open.,1
90, passed the gameboy to John because his turn was over.,'s turn was over.,1
91, asked Mary what time the library closes because she had forgotten.,Ann had forgotten.,1
92,'s parents came home and found her having sex with her boyfriend Paul. They were furious about it.,'s parents were furious about it.,1
